track_genre,genre_valence_mean,genre_energy_mean,genre_freq
acoustic,0.42096365946632786,0.4334947903430749,787
afrobeat,0.6941734002509411,0.7030050188205771,797
alt-rock,0.5149774234693878,0.7530522959183674,784
alternative,0.4954398284313726,0.7130232843137255,816
ambient,0.166037125,0.2368646875,800
anime,0.4292138785625775,0.667898760842627,807
black-metal,0.1933659493670886,0.8710097468354431,790
bluegrass,0.6373047798742139,0.5338991194968553,795
blues,0.6041988549618321,0.5853922391857506,786
brazil,0.47565093399750935,0.6250809464508095,803
breakbeat,0.47593208489388267,0.8559001248439451,801
british,0.4414468193384224,0.5072308778625955,786
cantopop,0.3984945477075589,0.4651586121437422,807
chicago-house,0.5906971032745593,0.735831234256927,794
children,0.6964819338422392,0.4963437404580152,786
chill,0.402043391521197,0.41954052369077305,802
classical,0.37829152119700743,0.1837073266832918,802
club,0.3645665018541409,0.7281653893695921,809
comedy,0.4525756489493201,0.7009270704573547,809
country,0.5174517676767677,0.5940174242424242,792
dance,0.5471255667506297,0.7066914357682619,794
dancehall,0.6305384422110553,0.6861658291457287,796
death-metal,0.24982116336633664,0.9309319306930692,808
deep-house,0.4445486486486486,0.7406105651105651,814
detroit-techno,0.4678331265508685,0.7139446650124069,806
disco,0.6644152605459057,0.7285210918114143,806
disney,0.373191375,0.30883222499999996,800
drum-and-bass,0.3296849875930521,0.8784404466501241,806
dub,0.38478555276381915,0.7143090452261307,796
dubstep,0.27059470284237724,0.7592648578811371,774
edm,0.46948100000000004,0.75832375,800
electro,0.4675484237074401,0.6649974779319041,793
electronic,0.39339262499999994,0.692061625,800
emo,0.4398042131350682,0.6687917228004957,807
folk,0.4884445431472081,0.5420052030456852,788
forro,0.7589174842767294,0.7922767295597485,795
french,0.4298744416873449,0.599448635235732,806
funk,0.6020988491048593,0.6309501278772379,782
garage,0.5180175742574258,0.742118811881188,808
german,0.3780119402985075,0.5288503233830846,804
gospel,0.321977538071066,0.5731870558375635,788
goth,0.4449369369369369,0.7376035009009009,777
grindcore,0.2231846253229974,0.9222054263565892,774
groove,0.43423553299492385,0.7708338832487309,788
grunge,0.3949353383458647,0.8051328320802005,798
guitar,0.43112920792079207,0.3252080065594059,808
happy,0.33349650436953804,0.9100124843945068,801
hard-rock,0.507500981595092,0.7984,815
hardcore,0.49832125786163517,0.843148427672956,795
hardstyle,0.3110660759493671,0.9012949367088607,790
heavy-metal,0.3862617206982544,0.8726633416458852,802
hip-hop,0.5537106516290727,0.680234335839599,798
honky-tonk,0.6307962264150944,0.3706325786163522,795
house,0.4948132467532467,0.7539337662337662,770
idm,0.30522694763729247,0.5579992337164751,783
indian,0.46164135338345863,0.5672701754385965,798
indie,0.46642614213197964,0.5539336294416244,788
indie-pop,0.4628978508217446,0.5588539823008849,791
industrial,0.42713498098859315,0.8616467680608365,789
iranian,0.1526985312117503,0.5413391583843329,817
j-dance,0.5625228716645488,0.7044035578144854,787
j-idol,0.5786692592592593,0.8658707407407407,810
j-pop,0.540273969072165,0.6698958762886598,776
j-rock,0.5405094527363183,0.7631442786069651,804
jazz,0.4873087786259542,0.3500477480916031,786
k-pop,0.556267680608365,0.6781913814955639,789
kids,0.6820064436183395,0.6171778190830235,807
latin,0.6267220125786163,0.7231635220125786,795
latino,0.6279575155279503,0.7310068322981367,805
malay,0.5025248743718593,0.5827746231155779,796
mandopop,0.34512264150943395,0.4945018867924528,795
metal,0.41252071516646116,0.839331689272503,811
metalcore,0.31961795511221947,0.9157256857855361,802
minimal-techno,0.2902778894472362,0.6785075376884422,796
mpb,0.5541244772447724,0.5821516243542435,813
new-age,0.182150987654321,0.2129367037037037,810
opera,0.21765661764705882,0.3172302696078431,816
pagode,0.69369125,0.70987625,800
party,0.6815150753768844,0.8683505025125628,796
piano,0.3094879052369077,0.3152541571072319,802
pop,0.5087017199017199,0.6034545454545455,814
pop-film,0.5298877370417194,0.6049429835651075,791
power-pop,0.6132773013871374,0.800264817150063,793
progressive-house,0.362638199513382,0.8126970802919709,822
psych-rock,0.56307,0.5681717073170732,820
punk,0.5578033877038896,0.8135922208281053,797
punk-rock,0.562605625,0.8103212499999999,800
r-n-b,0.6361025094102886,0.6356788840652446,797
reggae,0.6459004975124378,0.7270957711442787,804
reggaeton,0.6406735074626866,0.7392860696517413,804
rock,0.5375971285892635,0.6771099875156055,801
rock-n-roll,0.6725492424242424,0.5279909090909091,792
rockabilly,0.7296197183098592,0.6605423815620999,781
romance,0.39071703980099504,0.2903825870646766,804
sad,0.4264989117291415,0.46312406287787183,827
salsa,0.8156568986568987,0.72695115995116,819
samba,0.695843391521197,0.6736938902743143,802
sertanejo,0.6204762500000001,0.7122937500000001,800
show-tunes,0.3836692405063291,0.4026677974683544,790
singer-songwriter,0.411546568627451,0.43648002450980394,816
ska,0.7012049689440994,0.7916186335403728,805
sleep,0.06946978229317852,0.3809378069666183,689
songwriter,0.41119228886168907,0.4353301101591187,817
soul,0.5267401985111663,0.5371233250620348,806
spanish,0.5451981179422836,0.7071254705144291,797
study,0.40729373464373464,0.41245380835380835,814
swedish,0.5249874236874237,0.6219825396825397,819
synth-pop,0.5886662949194548,0.7168909541511771,807
tango,0.5768692211055276,0.3736415829145729,796
techno,0.3182650314465409,0.747285534591195,795
trance,0.27511344956413447,0.842478206724782,803
trip-hop,0.4795083839611179,0.6216658566221142,823
turkish,0.46520710784313724,0.6108438725490196,816
world-music,0.25195501225490197,0.5319742156862745,816
